region	gender	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80 и старше	85 и старше	sum
Республика Марий Эл	man	3709	4095	4761	4964	5054	5085	4956	4622	4403	4329	4239	4110	3840	3584	3700	3710	3445	3328	3276	3280	3266	3206	3411	3532	3798	3813	4216	4279	4890	5387	6105	6515	6337	5781	5880	5900	5425	5117	4990	4806	4513	4438	4479	4271	4110	3837	3867	3741	3863	3660	3674	3915	3948	4139	4336	4791	4557	5126	5071	5070	4948	4740	4262	4220	3989	3457	3068	3016	2590	2760	2207	2005	1526	704	505	422	786	1042	1028	1011	4706	1650	317542
Республика Марий Эл	woman	3630	3985	4648	4745	4785	4816	4667	4318	4167	4205	4142	3934	3381	3486	3487	3328	3301	3133	3187	3096	3109	3008	3082	3212	3532	3426	3646	4335	4894	5227	5469	5822	6022	5667	5663	5677	4908	5054	4957	4794	4612	4713	4663	4752	4376	4332	4208	4190	4304	4136	4325	4441	4764	4966	5131	5604	5743	6232	6547	6481	6461	6504	6001	6017	5838	5065	4865	4598	4333	4347	3570	3522	2818	1385	1027	884	1782	2635	2781	2889	17051	7355	362838
Республика Мордовия	all	6647	6761	7794	7671	7882	8009	7983	7722	7754	7940	8132	7715	7216	7197	7369	7247	6825	6627	7152	6819	7127	7533	8220	8894	9244	9639	10903	10860	12458	13162	12811	13844	13506	12688	12409	12673	12014	11521	11324	11258	11122	11146	11376	11529	11266	10709	11166	11143	10983	10411	10597	10707	11470	11707	11885	12801	12862	13717	14233	13834	13560	13021	12146	11406	11386	10231	10163	9577	9244	9420	7960	7003	5973	2878	2334	2215	3685	5713	5634	5271	31470	12863	795504
Республика Мордовия	man	3439	3509	3930	3961	4096	4164	4088	3968	3948	3972	4160	4027	3721	3684	3887	3752	3482	3374	3498	3221	3312	3794	4293	4744	5211	5189	5901	5484	6650	6928	6591	7416	7263	6727	6596	6769	6443	6075	5915	5781	5823	5715	5873	5862	5618	5298	5545	5447	5382	5110	5207	5187	5570	5566	5634	6096	5951	6331	6629	6204	5980	5608	5206	4779	4627	4146	3998	3668	3548	3546	2901	2439	2030	985	787	649	1081	1654	1464	1404	6868	2340	374379
Республика Мордовия	woman	3208	3252	3864	3710	3786	3845	3895	3754	3806	3968	3972	3688	3495	3513	3482	3495	3343	3253	3654	3598	3815	3739	3927	4150	4033	4450	5002	5376	5808	6234	6220	6428	6243	5961	5813	5904	5571	5446	5409	5477	5299	5431	5503	5667	5648	5411	5621	5696	5601	5301	5390	5520	5900	6141	6251	6705	6911	7386	7604	7630	7580	7413	6940	6627	6759	6085	6165	5909	5696	5874	5059	4564	3943	1893	1547	1566	2604	4059	4170	3867	24602	10523	421125
Республика Татарстан	all	46025	48049	55372	56360	56424	56393	55589	51127	47525	46647	45023	41658	38070	38476	39021	38962	38909	36571	36152	33683	35751	35503	38222	39105	44640	45057	54474	59134	66699	68518	70889	73500	71706	67721	65559	64774	57571	55227	56426	54428	53556	52477	53708	53113	50747	49381	48613	46902	47631	45303	45311	46320	50366	51444	52291	56663	58188	60696	63665	58697	57836	55925	51679	51224	50249	43457	42781	40580	38186	38999	30963	29504	26011	13204	9800	9968	15306	23912	24337	25557	143138	59141	3898628
Республика Татарстан	man	23524	24623	28607	28848	28991	29035	28743	26247	24348	23971	23083	21430	19449	19736	20106	20126	19894	18908	18062	16102	17421	17091	18900	18739	22566	22425	27482	29683	33707	34278	35705	36963	36207	33902	32868	32139	28471	27095	27625	26400	25852	25223	25756	25318	24263	23558	22988	22235	22522	21267	21335	21827	23258	23794	23894	25789	26216	27599	28519	25825	24887	24033	21567	20895	19962	17008	16828	15896	14719	14881	11480	10655	9306	4579	3280	3371	4878	7381	7400	7438	35647	12960	1806629
Республика Татарстан	woman	22501	23426	26765	27512	27433	27358	26846	24880	23177	22676	21940	20228	18621	18740	18915	18836	19015	17663	18090	17581	18330	18412	19322	20366	22074	22632	26992	29451	32992	34240	35184	36537	35499	33819	32691	32635	29100	28132	28801	28028	27704	27254	27952	27795	26484	25823	25625	24667	25109	24036	23976	24493	27108	27650	28397	30874	31972	33097	35146	32872	32949	31892	30112	30329	30287	26449	25953	24684	23467	24118	19483	18849	16705	8625	6520	6597	10428	16531	16937	18119	107491	46181	2091999
Удмуртская Республика	all	16343	17731	20740	21821	21701	21729	22745	21401	20672	20322	19551	18882	16560	16234	17056	16798	16472	15423	14591	13639	13874	13179	13432	13657	15867	15621	17744	18671	21056	22850	24946	26164	25875	24695	24630	25854	22911	22630	22903	22033	21927	21658	22440	21453	21063	19688	19500	19013	18474	17290	16982	17469	18247	18960	19897	21537	22423	23420	25142	24255	24031	23196	21137	21558	21035	18231	18158	17253	16002	15621	11629	11641	9402	5632	3947	3394	5156	7664	7705	8810	46347	18569	1507390
Удмуртская Республика	man	8318	9215	10534	11237	11133	11121	11631	11006	10623	10278	10054	9677	8601	8260	8720	8646	8335	7923	7271	6545	6771	6399	6758	6697	8167	7829	8855	9215	10559	11643	12760	13330	13248	12552	12618	12962	11438	11154	11358	10727	10544	10460	10753	10166	10051	9356	9165	9036	8668	8061	7793	8072	8377	8574	8939	9583	9797	10168	10841	10309	10256	9739	8746	8698	8260	7231	6976	6598	5901	5594	4184	4086	3294	1848	1291	1016	1545	2163	2126	2325	9586	3201	694344
Удмуртская Республика	woman	8025	8516	10206	10584	10568	10608	11114	10395	10049	10044	9497	9205	7959	7974	8336	8152	8137	7500	7320	7094	7103	6780	6674	6960	7700	7792	8889	9456	10497	11207	12186	12834	12627	12143	12012	12892	11473	11476	11545	11306	11383	11198	11687	11287	11012	10332	10335	9977	9806	9229	9189	9397	9870	10386	10958	11954	12626	13252	14301	13946	13775	13457	12391	12860	12775	11000	11182	10655	10101	10027	7445	7555	6108	3784	2656	2378	3611	5501	5579	6485	36761	15368	813046
Чувашская Республика	all	12964	13803	16044	16814	16825	16959	17041	15681	15430	15330	14421	14311	12603	12362	12861	12435	12265	11270	11179	10220	11459	10978	12084	12569	13904	13434	14870	16834	19072	20254	20372	20923	20634	19338	19009	18832	16932	16898	17162	16741	17009	17021	17869	17429	16711	15911	16460	16211	16043	16151	16214	15979	17819	17347	17943	18376	18623	18732	20294	19480	18710	17950	16650	16181	15927	13580	13797	13188	12364	12478	10350	9268	8031	4090	3377	3123	5773	7313	7258	7418	45830	18694	1223395
Чувашская Республика	man	6676	7036	8311	8704	8677	8708	8764	8089	7817	7847	7259	7349	6469	6398	6570	6368	6317	5716	5619	4852	5717	5314	5865	6310	7021	6927	7466	8624	9795	10378	10553	10953	10929	10108	9852	9823	8659	8611	8706	8305	8311	8311	8583	8470	8022	7684	7889	7690	7582	7787	7699	7551	8537	8173	8534	8550	8571	8644	9246	8644	8281	7680	7045	6700	6573	5610	5431	5185	4782	4717	3846	3411	2954	1350	1065	1041	1866	2240	2070	2063	10696	3749	572546
Чувашская Республика	woman	6288	6767	7733	8110	8148	8251	8277	7592	7613	7483	7162	6962	6134	5964	6291	6067	5948	5554	5560	5368	5742	5664	6219	6259	6883	6507	7404	8210	9277	9876	9819	9970	9705	9230	9157	9009	8273	8287	8456	8436	8698	8710	9286	8959	8689	8227	8571	8521	8461	8364	8515	8428	9282	9174	9409	9826	10052	10088	11048	10836	10429	10270	9605	9481	9354	7970	8366	8003	7582	7761	6504	5857	5077	2740	2312	2082	3907	5073	5188	5355	35134	14945	650849
Пермский край	all	29386	31715	36926	38290	38329	38015	38185	36316	34434	33374	32972	30767	27832	27869	29029	29035	28620	26691	25150	23031	25118	23302	25391	25320	27072	27598	31877	33426	37614	40283	43945	45719	46011	43396	43406	44028	40161	38119	37610	37748	38627	38370	38319	38729	38047	36071	35701	34669	33550	31458	30232	29675	30227	31143	32717	34852	35504	37713	39769	37738	37330	36158	34309	34905	35138	31421	31411	30240	28896	28568	22205	21496	18419	10637	7116	6600	9169	14488	14448	15833	85792	33983	2610800
Пермский край	man	15007	16202	18918	19662	19716	19401	19572	18731	17624	17062	16865	15685	14247	14414	14924	14977	14532	13645	12363	10984	12438	11072	12695	12498	13698	14016	16441	17049	19139	20498	22596	23386	23478	21771	21662	22097	20058	18702	18412	18405	18427	18309	18137	18276	17866	17088	16758	16397	15722	14708	13902	13871	13876	14131	14716	15787	15709	16560	17336	16291	15708	15081	13837	13926	13693	12045	11878	11264	10720	10281	7983	7422	6242	3470	2250	2042	2706	4072	3739	4182	18617	6374	1199667
Пермский край	woman	14379	15513	18008	18628	18613	18614	18613	17585	16810	16312	16107	15082	13585	13455	14105	14058	14088	13046	12787	12047	12680	12230	12696	12822	13374	13582	15436	16377	18475	19785	21349	22333	22533	21625	21744	21931	20103	19417	19198	19343	20200	20061	20182	20453	20181	18983	18943	18272	17828	16750	16330	15804	16351	17012	18001	19065	19795	21153	22433	21447	21622	21077	20472	20979	21445	19376	19533	18976	18176	18287	14222	14074	12177	7167	4866	4558	6463	10416	10709	11651	67175	27609	1411133
Кировская область	all	12551	13615	16083	16251	16436	16631	16538	15329	14857	14894	14886	13823	12681	12312	12574	12074	12096	10982	10473	10064	10650	10276	10524	11495	11847	12246	13006	13729	16336	17834	18657	19432	20064	19148	19670	20983	19347	18816	18501	18358	18891	18033	18497	18173	17737	16944	16846	16071	15617	14622	14387	14444	15437	15931	17195	18937	19685	21585	22824	23130	22800	22158	20507	21040	20469	17853	18137	17090	16225	16099	12191	12192	9815	4809	3210	2593	4936	8349	7950	9201	53430	22667	1272109
Кировская область	man	6433	7013	8183	8321	8370	8547	8550	7881	7713	7622	7596	7145	6530	6268	6430	6206	6208	5659	5205	4989	5235	5141	5075	5844	6062	6328	6664	6629	8432	9139	9896	10301	10596	9948	10036	10860	9858	9613	9327	9236	9321	8892	9064	8983	8542	8154	8189	7590	7623	6866	6818	6725	7065	7352	7868	8650	8785	9652	10135	10223	9773	9649	8690	8752	8462	7218	7143	6746	6221	6221	4569	4506	3538	1710	1036	852	1478	2350	2016	2361	11229	3987	586106
Кировская область	woman	6118	6602	7900	7930	8066	8084	7988	7448	7144	7272	7290	6678	6151	6044	6144	5868	5888	5323	5268	5075	5415	5135	5449	5651	5785	5918	6342	7100	7904	8695	8761	9131	9468	9200	9634	10123	9489	9203	9174	9122	9570	9141	9433	9190	9195	8790	8657	8481	7994	7756	7569	7719	8372	8579	9327	10287	10900	11933	12689	12907	13027	12509	11817	12288	12007	10635	10994	10344	10004	9878	7622	7686	6277	3099	2174	1741	3458	5999	5934	6840	42201	18680	686003
Нижегородская область	all	31868	33941	38261	39647	38455	38279	38376	36079	34210	34697	33997	31947	29964	29691	30170	29881	28434	26824	27621	26526	28164	27726	29253	30892	33538	33628	39805	44517	50080	52881	55678	58560	56699	54827	53551	54814	49724	47957	49036	46623	47593	45575	45798	46056	44042	42792	43239	42116	43309	39818	38029	37450	39130	40638	41859	44380	45757	48946	52623	51709	51622	49691	46616	46951	45807	40942	40373	38850	37954	38649	30209	28666	26184	15546	11748	9550	13295	21866	21622	22574	138228	54067	3214623
Нижегородская область	man	16618	17534	19716	20445	19794	19558	19593	18569	17476	17993	17469	16451	15272	15188	15545	15474	14603	13818	14093	13658	14409	14285	15087	15729	17535	17257	20513	23286	25836	26939	28702	29883	28630	27581	27031	27513	24895	23809	24441	22907	23105	21870	22039	21839	20834	20313	20514	19751	20438	18449	17832	17333	17790	18623	18652	19579	20281	21274	22796	22009	21501	20578	18976	18666	17492	15540	14985	14088	13737	13607	10469	9743	8622	5013	3656	2800	3720	5725	5512	5529	30007	10515	1460422
Нижегородская область	woman	15250	16407	18545	19202	18661	18721	18783	17510	16734	16704	16528	15496	14692	14503	14625	14407	13831	13006	13528	12868	13755	13441	14166	15163	16003	16371	19292	21231	24244	25942	26976	28677	28069	27246	26520	27301	24829	24148	24595	23716	24488	23705	23759	24217	23208	22479	22725	22365	22871	21369	20197	20117	21340	22015	23207	24801	25476	27672	29827	29700	30121	29113	27640	28285	28315	25402	25388	24762	24217	25042	19740	18923	17562	10533	8092	6750	9575	16141	16110	17045	108221	43552	1754201
Оренбургская область	all	21630	22634	26143	27662	28421	28729	28719	27023	26354	25943	24976	23882	21259	20542	21378	21223	20963	19133	18832	17816	19077	18133	19235	20118	22058	22160	23619	25107	27476	28704	30259	32217	32481	31633	30997	31717	29220	28950	29162	28189	27568	27307	26930	26688	26043	25262	25813	24874	24881	23411	23456	23745	24654	25568	26878	29120	30075	31926	32836	31269	30294	29043	26750	26957	25975	22460	22562	22225	19121	18828	16541	15789	13499	6764	5096	5358	7984	11630	12136	13323	68594	25131	1963007
Оренбургская область	man	11235	11641	13399	14373	14433	14750	14891	13715	13737	13368	12948	12349	10980	10520	10912	10929	10830	9778	9695	9512	10010	9325	9880	10252	11336	11428	11836	12654	14076	14728	15410	16729	16484	16073	15485	15902	14475	14399	14396	13700	13370	13062	12746	12525	12283	11806	12080	11810	11816	10932	10944	11001	11462	11720	12124	13449	13615	14431	14673	13699	13187	12626	11243	11145	10532	9044	8991	8782	7448	7118	6203	5785	4806	2293	1708	1695	2376	3374	3444	3657	16636	5252	914214
Оренбургская область	woman	10395	10993	12744	13289	13988	13979	13828	13308	12617	12575	12028	11533	10279	10022	10466	10294	10133	9355	9137	8304	9067	8808	9355	9866	10722	10732	11783	12453	13400	13976	14849	15488	15997	15560	15512	15815	14745	14551	14766	14489	14198	14245	14184	14163	13760	13456	13733	13064	13065	12479	12512	12744	13192	13848	14754	15671	16460	17495	18163	17570	17107	16417	15507	15812	15443	13416	13571	13443	11673	11710	10338	10004	8693	4471	3388	3663	5608	8256	8692	9666	51958	19879	1048793
Пензенская область	all	11409	11811	13492	14169	14381	14216	14662	13653	13718	14168	14068	13469	12081	11966	12108	11854	11266	10681	11081	10520	11166	11063	11573	12558	13844	14542	16148	17503	19572	20296	21312	21744	21299	20630	20108	20644	19101	18384	19373	18417	18771	18217	18659	18486	18032	17525	18190	17882	18118	16857	16551	16836	17237	18163	18430	20128	20159	21036	22769	21710	21526	20657	19940	19966	19505	17659	18224	17316	17194	17338	15330	13481	11508	6211	4578	4327	6602	11063	10771	10506	56595	22577	1318103
Пензенская область	man	5800	6108	6818	7274	7315	7294	7576	7064	7137	7235	7200	6904	6179	6161	6282	6141	5813	5469	5828	5355	5753	5754	5927	6331	7040	7430	8182	8487	9842	10354	11062	11096	10896	10608	10249	10580	9855	9305	9761	9083	9103	8855	9006	8894	8769	8481	8723	8533	8647	8041	7754	7920	8089	8334	8433	9289	9069	9521	10262	9397	9373	8822	8315	8249	7671	6849	6989	6599	6430	6457	5691	4868	3891	2113	1530	1314	1992	3151	3022	2825	12976	4423	602795
Пензенская область	woman	5609	5703	6674	6895	7066	6922	7086	6589	6581	6933	6868	6565	5902	5805	5826	5713	5453	5212	5253	5165	5413	5309	5646	6227	6804	7112	7966	9016	9730	9942	10250	10648	10403	10022	9859	10064	9246	9079	9612	9334	9668	9362	9653	9592	9263	9044	9467	9349	9471	8816	8797	8916	9148	9829	9997	10839	11090	11515	12507	12313	12153	11835	11625	11717	11834	10810	11235	10717	10764	10881	9639	8613	7617	4098	3048	3013	4610	7912	7749	7681	43619	18154	715308
Самарская область	all	32926	34367	39845	40687	39992	39300	38758	36478	33936	33266	33822	31994	30119	29825	30623	30374	29128	26190	26862	25605	26977	26540	28332	31052	32860	34495	39553	43105	48046	50492	53802	56491	57153	54801	54256	54188	49650	48346	49924	47530	47204	46787	47588	48103	45975	44680	45246	44218	44752	39881	38414	37914	39057	40174	41205	43958	45143	47366	50004	46305	46072	45649	43017	43653	44469	40542	40855	39443	37912	38280	32536	30043	27157	15591	11289	10823	14899	22215	21943	22543	118443	45178	3183038
Самарская область	man	16780	17746	20412	21077	20507	20271	19763	18777	17481	17269	17392	16480	15644	15241	15696	15645	15039	13489	13858	13278	14024	13792	14689	15966	16723	17717	20316	22081	24569	25514	27295	28672	28871	27402	27045	26963	24437	23634	24125	22977	22453	22229	22499	22310	21540	20889	21164	20926	21354	18545	17914	17754	18332	18384	18526	19565	19831	20742	21834	19549	19585	18894	17712	17365	17329	15611	15334	14653	14014	13689	11435	10658	9151	5247	3721	3461	4573	6621	6356	6388	29501	10179	1456295
Самарская область	woman	16146	16621	19433	19610	19485	19029	18995	17701	16455	15997	16430	15514	14475	14584	14927	14729	14089	12701	13004	12327	12953	12748	13643	15086	16137	16778	19237	21024	23477	24978	26507	27819	28282	27399	27211	27225	25213	24712	25799	24553	24751	24558	25089	25793	24435	23791	24082	23292	23398	21336	20500	20160	20725	21790	22679	24393	25312	26624	28170	26756	26487	26755	25305	26288	27140	24931	25521	24790	23898	24591	21101	19385	18006	10344	7568	7362	10326	15594	15587	16155	88942	34999	1726743
Саратовская область	all	22171	23346	26681	28160	28422	28210	28263	26511	25544	26232	26699	25693	23148	23504	23739	23266	22655	21458	22659	21897	22844	21882	23839	25452	26604	27285	30789	33839	38836	38970	39321	41499	40171	39731	38261	39467	36735	35111	38105	35242	34472	33965	35148	35280	34049	32847	33484	32898	33945	31212	31240	30433	31245	33468	33591	35801	36415	37840	39545	36195	35387	34410	33697	33502	33933	30204	29654	28427	28364	28462	25184	22434	21205	13021	8962	9129	12881	19142	19079	19415	99009	34906	2440815
Саратовская область	man	11475	12099	13744	14529	14730	14576	14499	13643	13116	13437	13628	13165	11870	11955	12076	11902	11539	11031	11666	11333	11951	11403	12209	13084	13664	14363	15655	16881	19462	19503	19848	21191	20367	20126	19407	19909	18058	17429	18805	17001	16565	16294	16530	16795	16153	15475	15719	15443	16307	14667	14805	14124	14452	15346	15329	16241	16416	16845	17641	15778	15129	14534	13977	13495	13501	11899	11458	10767	10500	10302	9043	7909	7302	4306	2889	2841	3874	5607	5637	5348	25817	8344	1119389
Саратовская область	woman	10696	11247	12937	13631	13692	13634	13764	12868	12428	12795	13071	12528	11278	11549	11663	11364	11116	10427	10993	10564	10893	10479	11630	12368	12940	12922	15134	16958	19374	19467	19473	20308	19804	19605	18854	19558	18677	17682	19300	18241	17907	17671	18618	18485	17896	17372	17765	17455	17638	16545	16435	16309	16793	18122	18262	19560	19999	20995	21904	20417	20258	19876	19720	20007	20432	18305	18196	17660	17864	18160	16141	14525	13903	8715	6073	6288	9007	13535	13442	14067	73192	26562	1321426
Ульяновская область	all	11914	12450	14342	14741	14771	14541	14558	13611	12895	12859	12846	11690	11055	10880	11268	11383	11135	10153	10331	9909	10647	10125	11339	12081	13283	13400	14953	16147	18890	19659	20600	21063	20844	19724	19561	19383	17432	17325	17096	16329	17018	16799	17056	16477	16016	15831	16294	16239	16452	15465	15411	15620	16718	17958	18610	20185	20787	21588	22496	20921	20434	20405	19188	18863	18917	16787	16362	15484	14838	15112	12985	11674	10048	5401	3954	4248	6048	9149	8880	8948	49537	19147	1238416
Ульяновская область	man	6185	6396	7422	7559	7657	7450	7349	7090	6692	6602	6605	5948	5725	5569	5681	5868	5550	5239	5321	5152	5647	5268	5936	6190	6820	7014	7828	7915	9658	10184	10697	10941	11054	10333	10082	9957	8848	8712	8565	7937	8304	8052	8332	7919	7560	7447	7645	7530	7702	7125	7081	7033	7619	8045	8494	9222	9264	9617	10164	9160	8775	8658	8212	7937	7653	6735	6338	5968	5591	5624	4772	4154	3450	1825	1262	1463	1820	2680	2496	2472	11952	3993	569798
Ульяновская область	woman	5729	6054	6920	7182	7114	7091	7209	6521	6203	6257	6241	5742	5330	5311	5587	5515	5585	4914	5010	4757	5000	4857	5403	5891	6463	6386	7125	8232	9232	9475	9903	10122	9790	9391	9479	9426	8584	8613	8531	8392	8714	8747	8724	8558	8456	8384	8649	8709	8750	8340	8330	8587	9099	9913	10116	10963	11523	11971	12332	11761	11659	11747	10976	10926	11264	10052	10024	9516	9247	9488	8213	7520	6598	3576	2692	2785	4228	6469	6384	6476	37585	15154	668618
Курганская область	all	8588	9313	10383	11161	11364	11784	11728	10841	10423	10572	10605	9921	8903	8909	8969	8773	8917	8024	7448	6883	7073	6471	7194	7396	8659	8186	9400	10219	10656	10802	11738	12410	12064	11485	11633	12078	11401	10934	11316	10948	11598	11371	11105	11178	11251	10688	11052	10565	10503	10029	9823	9392	10075	10535	11176	12511	13194	13783	14178	13489	13781	13665	13361	13784	12863	10934	12461	11605	10196	10424	8019	7621	6969	3604	2417	2398	3395	5623	6404	6853	35256	13870	834701
Курганская область	man	4469	4710	5296	5633	5816	5980	6099	5588	5360	5382	5501	5020	4600	4575	4552	4397	4572	4068	3683	3343	3456	3229	3584	3629	4601	4174	5073	5630	5662	5578	6296	6714	6380	5946	5847	6147	5755	5464	5628	5351	5585	5543	5365	5236	5322	5043	5169	5025	5046	4748	4618	4314	4704	4833	5019	5690	6039	6203	6428	6037	6053	5883	5593	5748	5245	4329	4960	4471	3918	3947	3021	2719	2422	1206	802	767	1024	1614	1772	1786	8280	2759	384315
Курганская область	woman	4119	4603	5087	5528	5548	5804	5629	5253	5063	5190	5104	4901	4303	4334	4417	4376	4345	3956	3765	3540	3617	3242	3610	3767	4058	4012	4327	4589	4994	5224	5442	5696	5684	5539	5786	5931	5646	5470	5688	5597	6013	5828	5740	5942	5929	5645	5883	5540	5457	5281	5205	5078	5371	5702	6157	6821	7155	7580	7750	7452	7728	7782	7768	8036	7618	6605	7501	7134	6278	6477	4998	4902	4547	2398	1615	1631	2371	4009	4632	5067	26976	11111	450386
Свердловская область	all	50052	53084	59412	61702	62202	61582	61094	57663	53291	52196	51050	47967	44703	43982	44979	44105	42561	39393	38801	36649	38155	36867	39469	40146	43480	43786	50575	57066	64400	67523	72820	76997	76310	73981	73787	75625	70084	67452	67452	65043	64827	64657	64609	64420	62137	59141	58935	56236	55176	50255	48770	47276	48531	49890	52226	56202	58495	61872	64682	62231	61666	59231	58227	59146	59906	54426	53613	51886	49468	49543	36943	37148	32019	18290	11747	11608	16474	26007	26372	28577	155348	58443	4315699
Свердловская область	man	26021	27146	30607	31623	32090	31424	31305	29635	27373	26984	25995	24542	22949	22396	22870	22542	21846	20223	19516	18571	19280	18584	20394	20342	22172	22527	25771	29377	33208	34744	37090	39298	38683	37120	36857	37674	34706	33192	32800	31458	30990	30771	30794	30436	29324	28047	27839	26659	25942	23591	22738	21760	22218	22886	23690	24995	25825	26955	27923	26568	26024	24449	23769	23342	23284	21167	20478	19221	18426	17996	13228	12731	10743	5963	3683	3650	4728	7302	7368	7431	34482	11271	1980351
Свердловская область	woman	24031	25938	28805	30079	30112	30158	29789	28028	25918	25212	25055	23425	21754	21586	22109	21563	20715	19170	19285	18078	18875	18283	19075	19804	21308	21259	24804	27689	31192	32779	35730	37699	37627	36861	36930	37951	35378	34260	34652	33585	33837	33886	33815	33984	32813	31094	31096	29577	29234	26664	26032	25516	26313	27004	28536	31207	32670	34917	36759	35663	35642	34782	34458	35804	36622	33259	33135	32665	31042	31547	23715	24417	21276	12327	8064	7958	11746	18705	19004	21146	120866	47172	2335348
Тюменская область (включая Ханты-Мансийский автономный округ-Югра и Ямало-Ненецкий автономный округ)	all	50532	52288	57751	60602	61590	60689	60943	56896	53743	52659	51275	48883	45144	44979	44896	43608	42024	39036	35861	33144	35492	33665	36092	39374	41936	42478	46123	52375	59606	61999	67622	74034	75339	73380	72101	72956	69636	64500	65009	61416	60247	58547	58563	57909	56041	52779	53120	50517	50329	46575	45812	44602	45583	47697	49147	52780	54134	56060	57438	52594	50695	47060	42509	40776	39327	33613	32028	29597	26912	25213	18582	17366	14209	7929	5637	5290	6740	10037	10533	11061	56705	21433	3723969
Тюменская область (включая Ханты-Мансийский автономный округ-Югра и Ямало-Ненецкий автономный округ)	man	26025	26771	29887	30779	31842	31074	31206	29205	27408	27162	26381	25022	23131	23031	23075	22294	21462	20102	17598	15733	17451	16347	18174	20137	21492	22297	24049	27416	31036	31773	34542	37806	38329	37335	36427	36583	34468	32424	32351	30295	29330	28345	28594	28361	27144	25488	25897	24888	24773	22820	22154	21337	21882	22925	23076	24800	25042	26201	26674	24171	23192	21128	18857	17584	16628	13962	13176	12046	10844	9819	7267	6335	5086	2816	1848	1747	2168	3052	3025	3022	12991	4243	1800415
Тюменская область (включая Ханты-Мансийский автономный округ-Югра и Ямало-Ненецкий автономный округ)	woman	24507	25517	27864	29823	29748	29615	29737	27691	26335	25497	24894	23861	22013	21948	21821	21314	20562	18934	18263	17411	18041	17318	17918	19237	20444	20181	22074	24959	28570	30226	33080	36228	37010	36045	35674	36373	35168	32076	32658	31121	30917	30202	29969	29548	28897	27291	27223	25629	25556	23755	23658	23265	23701	24772	26071	27980	29092	29859	30764	28423	27503	25932	23652	23192	22699	19651	18852	17551	16068	15394	11315	11031	9123	5113	3789	3543	4572	6985	7508	8039	43714	17190	1923554
Ханты-Мансийский АОк	all	22546	23253	25783	26934	27756	28001	28177	26108	24779	23688	23185	22274	21097	21065	21192	20789	19881	18284	16250	14722	15802	14964	16115	17524	19160	18913	18496	21274	24906	26640	29599	32903	33436	33024	32540	33079	31966	29862	30897	28824	28161	27356	27333	27254	26191	24609	24939	23990	23994	22015	21466	21017	21467	22428	23086	24748	25152	26279	27068	23964	22891	20764	18529	17028	16326	13600	12771	11505	10683	9406	7238	6108	4904	2867	2097	1950	2366	3172	3292	3245	14848	4894	1663795
Ханты-Мансийский АОк	man	11732	11898	13373	13697	14279	14464	14392	13409	12564	12307	12046	11429	10906	10790	10892	10596	10196	9471	7911	6865	7610	7067	7898	8621	9736	9937	9463	11156	12910	13735	15257	16759	17127	16697	16330	16441	15796	14814	15289	14045	13656	13209	13282	13246	12600	11773	12222	11887	11792	10868	10417	10090	10329	10909	10917	11701	11531	12347	12684	11074	10705	9512	8387	7491	7049	5742	5355	4738	4320	3747	2891	2211	1778	1041	708	673	780	947	967	918	3372	932	809771
Ханты-Мансийский АОк	woman	10814	11355	12410	13237	13477	13537	13785	12699	12215	11381	11139	10845	10191	10275	10300	10193	9685	8813	8339	7857	8192	7897	8217	8903	9424	8976	9033	10118	11996	12905	14342	16144	16309	16327	16210	16638	16170	15048	15608	14779	14505	14147	14051	14008	13591	12836	12717	12103	12202	11147	11049	10927	11138	11519	12169	13047	13621	13932	14384	12890	12186	11252	10142	9537	9277	7858	7416	6767	6363	5659	4347	3897	3126	1826	1389	1277	1586	2225	2325	2327	11476	3962	854024
Ямало-Ненецкий АОк	all	7320	7723	8493	9257	9252	9013	9083	8334	8107	8179	8053	7874	7148	7594	7338	7226	6872	6491	5445	5002	5422	5004	5559	6413	6603	6127	5709	5934	7229	7457	8959	10651	11183	10956	11005	11295	11032	10577	10758	10173	10090	9600	10005	9848	9682	9258	9472	8878	8802	8192	7901	7507	7487	7920	7951	8396	8531	8484	8211	7420	6648	6010	4861	4454	3877	3100	2750	2321	2122	1726	1191	1074	768	508	378	297	395	456	474	436	2148	841	541479
Ямало-Ненецкий АОк	man	3724	4009	4446	4733	4802	4519	4703	4261	4215	4136	4136	3970	3635	3906	3833	3614	3475	3319	2619	2311	2688	2359	2681	3231	3333	3210	3196	3192	3905	3839	4572	5421	5684	5581	5546	5744	5519	5379	5379	5086	4948	4701	4964	4832	4792	4498	4643	4477	4393	4107	3866	3585	3651	3886	3793	4150	4182	4063	3892	3627	3234	2865	2258	2013	1765	1339	1189	973	939	701	439	420	271	172	136	93	108	139	107	97	460	187	268679
