"","region","region_tr","population.total","hospitalized.total","hospitalized.perc","critical.total","critical.perc","lethality.total","lethality.perc","critical.per.IMV"
"53","Оренбургская область","Orenburgskaya oblastʹ",1963007,63821,3.25,17245,0.88,10245,0.52,31.8
"54","Пензенская область","Penzenskaya oblastʹ",1318103,48320,3.67,13871,1.05,8245,0.63,34.7
"55","Пермский край","Permskiy kray",2610800,83392,3.19,22286,0.85,13234,0.51,30.4
"56","Приморский край","Primorskiy kray",1902718,61707,3.24,16118,0.85,9572,0.5,NA
"57","Псковская область","Pskovskaya oblastʹ",629651,22834,3.63,6612,1.05,3930,0.62,34.8
"58","Ростовская область","Rostovskaya oblastʹ",4202320,144782,3.45,40819,0.97,24257,0.58,56.4
"59","Рязанская область","Ryazanskaya oblastʹ",1114137,41310,3.71,12262,1.1,7291,0.65,40.9
"60","Республика Саха","Respublika Sakha",967009,24479,2.53,5281,0.55,3129,0.32,14.6
"61","Сахалинская область","Sakhalinskaya oblastʹ",489638,15119,3.09,3653,0.75,2166,0.44,20.2
"62","Самарская область","Samarskaya oblastʹ",3183038,109674,3.45,30387,0.95,18054,0.57,31.9
"63","Саратовская область","Saratovskaya oblastʹ",2440815,85798,3.52,24328,1,14462,0.59,45.4
"64","Смоленская область","Smolenskaya oblastʹ",942363,33577,3.56,9334,0.99,5544,0.59,NA
"65","Ставропольский край","Stavropolʹskiy kray",2795243,89602,3.21,24581,0.88,14605,0.52,10.9
"66","Свердловская область","Sverdlovskaya oblastʹ",4315699,141537,3.28,38693,0.9,22980,0.53,35.1
"67","Тамбовская область","Tambovskaya oblastʹ",1015966,38344,3.77,11299,1.11,6719,0.66,14.7
"68","Республика Татарстан","Respublika Tatarstan",3898628,125922,3.23,34207,0.88,20319,0.52,21.8
"69","Томская область","Tomskaya oblastʹ",1077442,32880,3.05,8506,0.79,5047,0.47,21.3
"70","Тульская область","Tulʹskaya oblastʹ",1478818,55494,3.75,16322,1.1,9702,0.66,55
"71","Республика Тыва","Respublika Tyva",324423,6410,1.98,1229,0.38,728,0.22,NA
"72","Тверская область","Tverskaya oblastʹ",1269636,46067,3.63,13353,1.05,7937,0.63,113.2
"73","Тюменская область","Tyumenskaya oblastʹ",1518695,44502,2.93,11088,0.73,6575,0.43,NA
"74","Удмуртская Республика","Udmurt·skaya Respublika",1507390,48037,3.19,12544,0.83,7446,0.49,41.4
"75","Ульяновская область","Ulʹyanovskaya oblastʹ",1238416,44460,3.59,12447,1.01,7397,0.6,NA
"76","Владимирская область","Vladimirskaya oblastʹ",1365805,49399,3.62,14196,1.04,8438,0.62,33.3
"77","Волгоградская область","Volgogradskaya oblastʹ",2507509,87199,3.48,24921,0.99,14813,0.59,NA
"78","Вологодская область","Vologodskaya oblastʹ",1167713,39007,3.34,10554,0.9,6267,0.54,41.1
"79","Воронежская область","Voronezhskaya oblastʹ",2327821,83768,3.6,24312,1.04,14451,0.62,69.9
"80","Ямало-Ненецкий АОк","Yamalo-Nenetskiy AOk",541479,12457,2.3,1921,0.35,1132,0.21,NA
"81","Ярославская область","Yaroslavskaya oblastʹ",1259612,44738,3.55,12854,1.02,7640,0.61,32.5
"82","Eврейская АОб","Evreyskaya AOb",159913,4837,3.02,1219,0.76,723,0.45,NA
"83","Забайкальский край","Zabaykalʹskiy kray",1065785,29598,2.78,7213,0.68,4277,0.4,29.8
